pressure,temperature
925.0,279.34999999999997
911.0,278.15
887.0,276.54999999999995
877.8,275.84999999999997
850.0,273.54999999999995
845.1,273.15
841.0,272.84999999999997
813.3,270.95
788.0,269.04999999999995
782.6,268.54999999999995
752.6,265.84999999999997
723.7,263.04999999999995
713.0,262.04999999999995
700.0,261.65
696.0,261.84999999999997
695.6,261.84999999999997
690.0,261.84999999999997
668.4,260.95
654.0,260.25
642.3,260.54999999999995
639.0,260.65
626.0,260.25
621.0,260.04999999999995
617.1,259.84999999999997
592.8,258.34999999999997
592.0,258.25
569.1,255.95
546.3,253.54999999999998
531.0,251.84999999999997
524.3,251.24999999999997
510.0,249.84999999999997
503.0,249.04999999999998
500.0,248.64999999999998
